,Unnamed: 0,Tweets,Label,step01,tokens,final_tokens,step02,finalText_str,ProcessedText
0,0,"Ketua DPP PHRI DKI Jakarta Sutrisno Iwantono bilang, mereka bukan tak setuju dengan substansi melarang perzinahan.… https://t.co/T7Z9Gv9efg",1,ketua dpp phri dki jakarta sutrisno iwantono bilang mereka bukan tak setuju dengan substansi melarang perzinahan,"['ketua', 'dpp', 'phri', 'dki', 'jakarta', 'sutrisno', 'iwantono', 'bilang', 'mereka', 'bukan', 'tak', 'setuju', 'dengan', 'substansi', 'melarang', 'perzinahan']","['ketua', 'dpp', 'phri', 'dki', 'jakarta', 'sutrisno', 'iwantono', 'bilang', 'mereka', 'bukan', 'tak', 'setuju', 'dengan', 'substansi', 'melarang', 'perzinahan']",ketua dpp phri dki jakarta sutrisno iwantono bilang mereka bukan tak setuju dengan substansi melarang perzinahan,ketua dpp phri dki jakarta sutrisno iwantono bilang mereka bukan tak setuju dengan substansi melarang perzinahan,ketua dpp phri dki jakarta sutrisno iwantono bilang bukan tak tuju substansi larang perzinahan
1,1,"Soalnya, RKUHP yang baru berisi pasal perzinahan yang dianggap bisa merugikan industri pariwisata dan perhotelan.

| Narasi Daily",1,soalnya rkuhp yang baru berisi pasal perzinahan yang dianggap bisa merugikan industri pariwisata dan perhotelan narasi daily,"['soalnya', 'rkuhp', 'yang', 'baru', 'berisi', 'pasal', 'perzinahan', 'yang', 'dianggap', 'bisa', 'merugikan', 'industri', 'pariwisata', 'dan', 'perhotelan', 'narasi', 'daily']","['soalnya', 'rkuhp', 'yang', 'baru', 'berisi', 'pasal', 'perzinahan', 'yang', 'dianggap', 'bisa', 'merugikan', 'industri', 'pariwisata', 'dan', 'perhotelan', 'narasi', 'daily']",soalnya rkuhp yang baru berisi pasal perzinahan yang dianggap bisa merugikan industri pariwisata dan perhotelan narasi daily,soalnya rkuhp yang baru berisi pasal perzinahan yang dianggap bisa merugikan industri pariwisata dan perhotelan narasi daily,soal rkuhp baru isi pasal perzinahan anggap rugi industri pariwisata hotel narasi daily
2,2,"#Semuabisakena. Inget, kan, sama kampanye penolakan Rancangan Undang-Undang Kitab Hukum Pidana (RKUHP) ini. Kali in… https://t.co/tfZAamEDaR",1,inget kan sama kampanye penolakan rancangan undang undang kitab hukum pidana rkuhp ini kali in,"['inget', 'kan', 'sama', 'kampanye', 'penolakan', 'rancangan', 'undang', 'undang', 'kitab', 'hukum', 'pidana', 'rkuhp', 'ini', 'kali', 'in']","['inget', 'kan', 'sama', 'kampanye', 'penolakan', 'rancangan', 'undang', 'undang', 'kitab', 'hukum', 'pidana', 'rkuhp', 'ini', 'kali', 'in']",inget kan sama kampanye penolakan rancangan undang undang kitab hukum pidana rkuhp ini kali in,inget kan sama kampanye penolakan rancangan undang undang kitab hukum pidana rkuhp ini kali in,inget kan sama kampanye tolak rancang undang undang kitab hukum pidana rkuhp kali in
3,3,"Gugatannya udah kalah. Selanjutnya, Pak Jokowi dan para menterinya harus gimana? Cek di video ya~ 

| Narasi Daily https://t.co/hGZI2HuXgI",1,gugatannya udah kalah selanjutnya pak jokowi dan para menterinya harus gimana cek di video ya narasi daily,"['gugatannya', 'udah', 'kalah', 'selanjutnya', 'pak', 'jokowi', 'dan', 'para', 'menterinya', 'harus', 'gimana', 'cek', 'di', 'video', 'ya', 'narasi', 'daily']","['gugatannya', 'udah', 'kalah', 'selanjutnya', 'pak', 'jokowi', 'dan', 'para', 'menterinya', 'harus', 'gimana', 'cek', 'di', 'video', 'ya', 'narasi', 'daily']",gugatannya udah kalah selanjutnya pak jokowi dan para menterinya harus gimana cek di video ya narasi daily,gugatannya udah kalah selanjutnya pak jokowi dan para menterinya harus gimana cek di video ya narasi daily,gugat udah kalah lanjut pak jokowi para menteri gimana cek video narasi daily
4,4,"Semoga aja amunisi Kominfo bisa efektif buat ngeberantas hoaks di medsos deh ya~ 

| Narasi Daily https://t.co/35JZVbWkHA",0,semoga aja amunisi kominfo bisa efektif buat ngeberantas hoaks di medsos deh ya narasi daily,"['semoga', 'aja', 'amunisi', 'kominfo', 'bisa', 'efektif', 'buat', 'ngeberantas', 'hoaks', 'di', 'medsos', 'deh', 'ya', 'narasi', 'daily']","['semoga', 'aja', 'amunisi', 'kominfo', 'bisa', 'efektif', 'buat', 'ngeberantas', 'hoaks', 'di', 'medsos', 'deh', 'ya', 'narasi', 'daily']",semoga aja amunisi kominfo bisa efektif buat ngeberantas hoaks di medsos deh ya narasi daily,semoga aja amunisi kominfo bisa efektif buat ngeberantas hoaks di medsos deh ya narasi daily,moga aja amunisi kominfo efektif buat ngeberantas hoaks medsos deh narasi daily
5,5,"Menurut LBH Bogor, Irwansyah, pemerintah Kota Bogor bisa digugat karena dianggap lalai mengelola fasilitas umum, da… https://t.co/grZpu5hfrI",1,menurut lbh bogor irwansyah pemerintah kota bogor bisa digugat karena dianggap lalai mengelola fasilitas umum da,"['menurut', 'lbh', 'bogor', 'irwansyah', 'pemerintah', 'kota', 'bogor', 'bisa', 'digugat', 'karena', 'dianggap', 'lalai', 'mengelola', 'fasilitas', 'umum', 'da']","['menurut', 'lbh', 'bogor', 'irwansyah', 'pemerintah', 'kota', 'bogor', 'bisa', 'digugat', 'karena', 'dianggap', 'lalai', 'mengelola', 'fasilitas', 'umum', 'da']",menurut lbh bogor irwansyah pemerintah kota bogor bisa digugat karena dianggap lalai mengelola fasilitas umum da,menurut lbh bogor irwansyah pemerintah kota bogor bisa digugat karena dianggap lalai mengelola fasilitas umum da,lbh bogor irwansyah perintah kota bogor gugat anggap lalai kelola fasilitas umum da
6,6,"“Harapan saya untuk Arema, yang meninggal dan jadi korban itu suportermu. Mereka yang mendukungmu secara materiil d… https://t.co/Vy9ZPMGEvi",0,harapan saya untuk arema yang meninggal dan jadi korban itu suportermu mereka yang mendukungmu secara materiil,"['harapan', 'saya', 'untuk', 'arema', 'yang', 'meninggal', 'dan', 'jadi', 'korban', 'itu', 'suportermu', 'mereka', 'yang', 'mendukungmu', 'secara', 'materiil']","['harapan', 'saya', 'untuk', 'arema', 'yang', 'meninggal', 'dan', 'jadi', 'korban', 'itu', 'suportermu', 'mereka', 'yang', 'mendukungmu', 'secara', 'materiil']",harapan saya untuk arema yang meninggal dan jadi korban itu suportermu mereka yang mendukungmu secara materiil,harapan saya untuk arema yang meninggal dan jadi korban itu suportermu mereka yang mendukungmu secara materiil,harap untuk arema tinggal jadi korban suporter yang dukung materiil
7,7,"Kayaknya di luaran sana gampang banget ya buat ngakuin kesalahan terus mundur dari jabatan. 

Beda gitu loh~ 

| Na… https://t.co/XgnIT14dQK",1,kayaknya di luaran sana gampang banget ya buat ngakuin kesalahan terus mundur dari jabatan beda gitu loh na,"['kayaknya', 'di', 'luaran', 'sana', 'gampang', 'banget', 'ya', 'buat', 'ngakuin', 'kesalahan', 'terus', 'mundur', 'dari', 'jabatan', 'beda', 'gitu', 'loh', 'na']","['kayaknya', 'di', 'luaran', 'sana', 'gampang', 'banget', 'ya', 'buat', 'ngakuin', 'kesalahan', 'terus', 'mundur', 'dari', 'jabatan', 'beda', 'gitu', 'loh', 'na']",kayaknya di luaran sana gampang banget ya buat ngakuin kesalahan terus mundur dari jabatan beda gitu loh na,kayaknya di luaran sana gampang banget ya buat ngakuin kesalahan terus mundur dari jabatan beda gitu loh na,kayak luar sana gampang banget buat ngakuin salah terus mundur jabat beda gitu na
8,8,Izin dulu buat pake lagunya ke .Feast bisa kali ya. Apalagi buat keperluan politik. Ini kaitannya sama hak moral da… https://t.co/Sknj6CF0Pe,1,izin dulu buat pake lagunya ke feast bisa kali ya apalagi buat keperluan politik ini kaitannya sama hak moral da,"['izin', 'dulu', 'buat', 'pake', 'lagunya', 'ke', 'feast', 'bisa', 'kali', 'ya', 'apalagi', 'buat', 'keperluan', 'politik', 'ini', 'kaitannya', 'sama', 'hak', 'moral', 'da']","['izin', 'dulu', 'buat', 'pake', 'lagunya', 'ke', 'feast', 'bisa', 'kali', 'ya', 'apalagi', 'buat', 'keperluan', 'politik', 'ini', 'kaitannya', 'sama', 'hak', 'moral', 'da']",izin dulu buat pake lagunya ke feast bisa kali ya apalagi buat keperluan politik ini kaitannya sama hak moral da,izin dulu buat pake lagunya ke feast bisa kali ya apalagi buat keperluan politik ini kaitannya sama hak moral da,izin dulu buat pake lagu feast kali apalagi buat perlu politik kait sama hak moral da
9,9,Apa sih etilen glikol dan dietilen glikol yang menyebabkan ratusan kasus gagal ginjal akut pada anak di Indonesia?… https://t.co/VXamTS1gkk,0,apa sih etilen glikol dan dietilen glikol yang menyebabkan ratusan kasus gagal ginjal akut pada anak di indonesia,"['apa', 'sih', 'etilen', 'glikol', 'dan', 'dietilen', 'glikol', 'yang', 'menyebabkan', 'ratusan', 'kasus', 'gagal', 'ginjal', 'akut', 'pada', 'anak', 'di', 'indonesia']","['apa', 'sih', 'etilen', 'glikol', 'dan', 'dietilen', 'glikol', 'yang', 'menyebabkan', 'ratusan', 'kasus', 'gagal', 'ginjal', 'akut', 'pada', 'anak', 'di', 'indonesia']",apa sih etilen glikol dan dietilen glikol yang menyebabkan ratusan kasus gagal ginjal akut pada anak di indonesia,apa sih etilen glikol dan dietilen glikol yang menyebabkan ratusan kasus gagal ginjal akut pada anak di indonesia,apa etilen glikol dietilen glikol sebab ratus kasus gagal ginjal akut anak indonesia
