,Tweets,step01,tokens,final_tokens,step02
0,"Napoli masih belum ada lawan, Barca rebut posisi puncak dari tangan Madrid, sementara PSG masih konsisten. Kalau kl… https://t.co/gTKDfHsGYz",napoli masih belum ada lawan barca rebut posisi puncak dari tangan madrid sementara psg masih konsisten kalau kl cogtkdfhsgyz,"['napoli', 'masih', 'belum', 'ada', 'lawan', 'barca', 'rebut', 'posisi', 'puncak', 'dari', 'tangan', 'madrid', 'sementara', 'psg', 'masih', 'konsisten', 'kalau', 'kl', 'cogtkdfhsgyz']","['napoli', 'masih', 'belum', 'ada', 'lawan', 'barca', 'rebut', 'posisi', 'puncak', 'dari', 'tangan', 'madrid', 'sementara', 'psg', 'masih', 'konsisten', 'kalau', 'kl', 'cogtkdfhsgyz']",napoli masih belum ada lawan barca rebut posisi puncak dari tangan madrid sementara psg masih konsisten kalau kl cogtkdfhsgyz
1,"Top skorer liga ✅
Cleansheet liga terbanyak ✅
Puncaki liga pertama kali sejak 2020 ✅

Barcelona sedang dalam perfor… https://t.co/9u1z64f2T9",top skorer liga cleansheet liga terbanyak puncaki liga pertama kali sejak   barcelona sedang dalam perfor couzft,"['top', 'skorer', 'liga', 'cleansheet', 'liga', 'terbanyak', 'puncaki', 'liga', 'pertama', 'kali', 'sejak', 'barcelona', 'sedang', 'dalam', 'perfor', 'couzft']","['top', 'skorer', 'liga', 'cleansheet', 'liga', 'terbanyak', 'puncaki', 'liga', 'pertama', 'kali', 'sejak', 'barcelona', 'sedang', 'dalam', 'perfor', 'couzft']",top skorer liga cleansheet liga terbanyak puncaki liga pertama kali sejak barcelona sedang dalam perfor couzft
2,"Salah satu striker terbaik pada masanya 💥⚽

Striker Inter Miami berkebangsaan Argentina, Gonzalo Higuain, mengumumk… https://t.co/2aAcpJrVoI",salah satu striker terbaik pada masanya striker inter miami berkebangsaan argentina gonzalo higuain mengumumk coaacpjrvoi,"['salah', 'satu', 'striker', 'terbaik', 'pada', 'masanya', 'striker', 'inter', 'miami', 'berkebangsaan', 'argentina', 'gonzalo', 'higuain', 'mengumumk', 'coaacpjrvoi']","['salah', 'satu', 'striker', 'terbaik', 'pada', 'masanya', 'striker', 'inter', 'miami', 'berkebangsaan', 'argentina', 'gonzalo', 'higuain', 'mengumumk', 'coaacpjrvoi']",salah satu striker terbaik pada masanya striker inter miami berkebangsaan argentina gonzalo higuain mengumumk coaacpjrvoi
3,"Monza habisi Sampdoria 💥 Gol-gol dari Pessina, Caprari, dan Sensi bawa I Biancorossi menang 3-0 di Luigi Ferraris.… https://t.co/mHYRpDXtQI",monza habisi sampdoria gol gol dari pessina caprari dan sensi bawa biancorossi menang     di luigi ferraris comhyrpd,"['monza', 'habisi', 'sampdoria', 'gol', 'gol', 'dari', 'pessina', 'caprari', 'dan', 'sensi', 'bawa', 'biancorossi', 'menang', 'di', 'luigi', 'ferraris', 'comhyrpd']","['monza', 'habisi', 'sampdoria', 'gol', 'gol', 'dari', 'pessina', 'caprari', 'dan', 'sensi', 'bawa', 'biancorossi', 'menang', 'di', 'luigi', 'ferraris', 'comhyrpd']",monza habisi sampdoria gol gol dari pessina caprari dan sensi bawa biancorossi menang di luigi ferraris comhyrpd
4,"Sempat surut pada musim lalu, Christophe Galtier yakin penggawanya di PSG, Lionel Messi bisa jadi pemain terbaik du… https://t.co/hvnTd4rLm4",sempat surut pada musim lalu christophe galtier yakin penggawanya di psg lionel messi bisa jadi pemain terbaik du cohvntdrlm,"['sempat', 'surut', 'pada', 'musim', 'lalu', 'christophe', 'galtier', 'yakin', 'penggawanya', 'di', 'psg', 'lionel', 'messi', 'bisa', 'jadi', 'pemain', 'terbaik', 'du', 'cohvntdrlm']","['sempat', 'surut', 'pada', 'musim', 'lalu', 'christophe', 'galtier', 'yakin', 'penggawanya', 'di', 'psg', 'lionel', 'messi', 'bisa', 'jadi', 'pemain', 'terbaik', 'du', 'cohvntdrlm']",sempat surut pada musim lalu christophe galtier yakin penggawanya di psg lionel messi bisa jadi pemain terbaik du cohvntdrlm
5,Monaco libas Nantes 4-1 berkat HATTRICK yang dicetak oleh Wissam Ben Yedder 🎩 Hasil ini bawa Monegasques raih 4 kem… https://t.co/Yao5wkedq3,monaco libas nantes     berkat hattrick yang dicetak oleh wissam ben yedder hasil ini bawa monegasques raih   kem coyaowkedq,"['monaco', 'libas', 'nantes', 'berkat', 'hattrick', 'yang', 'dicetak', 'oleh', 'wissam', 'ben', 'yedder', 'hasil', 'ini', 'bawa', 'monegasques', 'raih', 'kem', 'coyaowkedq']","['monaco', 'libas', 'nantes', 'berkat', 'hattrick', 'yang', 'dicetak', 'oleh', 'wissam', 'ben', 'yedder', 'hasil', 'ini', 'bawa', 'monegasques', 'raih', 'kem', 'coyaowkedq']",monaco libas nantes berkat hattrick yang dicetak oleh wissam ben yedder hasil ini bawa monegasques raih kem coyaowkedq
6,"KLUB 20 ⚽🅰️ Di 5 liga top Eropa, cuma ada 2 gelandang yang cetak 20 gol + 20 asis sejauh ini: Kevin de Bruyne dan S… https://t.co/B5i5ULzYXb",klub   di   liga top eropa cuma ada   gelandang yang cetak   gol   asis sejauh ini kevin de bruyne dan cobiulzy,"['klub', 'di', 'liga', 'top', 'eropa', 'cuma', 'ada', 'gelandang', 'yang', 'cetak', 'gol', 'asis', 'sejauh', 'ini', 'kevin', 'de', 'bruyne', 'dan', 'cobiulzy']","['klub', 'di', 'liga', 'top', 'eropa', 'cuma', 'ada', 'gelandang', 'yang', 'cetak', 'gol', 'asis', 'sejauh', 'ini', 'kevin', 'de', 'bruyne', 'dan', 'cobiulzy']",klub di liga top eropa cuma ada gelandang yang cetak gol asis sejauh ini kevin de bruyne dan cobiulzy
7,Panas 🔥 Drama 5 gol tersaji kala Chicago Fire taklukkan tuan rumah FC Cincinnati 3-2. Tim tamu unggul 3-0 terlebih… https://t.co/uohGg3Nmth,panas drama   gol tersaji kala chicago fire taklukkan tuan rumah fc cincinnati     tim tamu unggul     terlebih couohggnmth,"['panas', 'drama', 'gol', 'tersaji', 'kala', 'chicago', 'fire', 'taklukkan', 'tuan', 'rumah', 'fc', 'cincinnati', 'tim', 'tamu', 'unggul', 'terlebih', 'couohggnmth']","['panas', 'drama', 'gol', 'tersaji', 'kala', 'chicago', 'fire', 'taklukkan', 'tuan', 'rumah', 'fc', 'cincinnati', 'tim', 'tamu', 'unggul', 'terlebih', 'couohggnmth']",panas drama gol tersaji kala chicago fire taklukkan tuan rumah fc cincinnati tim tamu unggul terlebih couohggnmth
8,Lorient lanjutkan performa manis mereka setelah jeda internasional dengan kembali raih kemenangan! Kali ini Lorient… https://t.co/Ug93xUMt2B,lorient lanjutkan performa manis mereka setelah jeda internasional dengan kembali raih kemenangan kali ini lorient coug,"['lorient', 'lanjutkan', 'performa', 'manis', 'mereka', 'setelah', 'jeda', 'internasional', 'dengan', 'kembali', 'raih', 'kemenangan', 'kali', 'ini', 'lorient', 'coug']","['lorient', 'lanjutkan', 'performa', 'manis', 'mereka', 'setelah', 'jeda', 'internasional', 'dengan', 'kembali', 'raih', 'kemenangan', 'kali', 'ini', 'lorient', 'coug']",lorient lanjutkan performa manis mereka setelah jeda internasional dengan kembali raih kemenangan kali ini lorient coug
9,Dramatis! Denis Bouanga mencetak gol telat di injury time untuk pastikan kemenangan LAFC 2-1 atas tuan rumah Portla… https://t.co/GGximkPFfn,dramatis denis bouanga mencetak gol telat di injury time untuk pastikan kemenangan lafc     atas tuan rumah portla cogg,"['dramatis', 'denis', 'bouanga', 'mencetak', 'gol', 'telat', 'di', 'injury', 'time', 'untuk', 'pastikan', 'kemenangan', 'lafc', 'atas', 'tuan', 'rumah', 'portla', 'cogg']","['dramatis', 'denis', 'bouanga', 'mencetak', 'gol', 'telat', 'di', 'injury', 'time', 'untuk', 'pastikan', 'kemenangan', 'lafc', 'atas', 'tuan', 'rumah', 'portla', 'cogg']",dramatis denis bouanga mencetak gol telat di injury time untuk pastikan kemenangan lafc atas tuan rumah portla cogg
