,Tweets
0,"Napoli masih belum ada lawan, Barca rebut posisi puncak dari tangan Madrid, sementara PSG masih konsisten. Kalau kl… https://t.co/gTKDfHsGYz"
1,"Top skorer liga ✅
Cleansheet liga terbanyak ✅
Puncaki liga pertama kali sejak 2020 ✅

Barcelona sedang dalam perfor… https://t.co/9u1z64f2T9"
2,"Salah satu striker terbaik pada masanya 💥⚽

Striker Inter Miami berkebangsaan Argentina, Gonzalo Higuain, mengumumk… https://t.co/2aAcpJrVoI"
3,"Monza habisi Sampdoria 💥 Gol-gol dari Pessina, Caprari, dan Sensi bawa I Biancorossi menang 3-0 di Luigi Ferraris.… https://t.co/mHYRpDXtQI"
4,"Sempat surut pada musim lalu, Christophe Galtier yakin penggawanya di PSG, Lionel Messi bisa jadi pemain terbaik du… https://t.co/hvnTd4rLm4"
5,Monaco libas Nantes 4-1 berkat HATTRICK yang dicetak oleh Wissam Ben Yedder 🎩 Hasil ini bawa Monegasques raih 4 kem… https://t.co/Yao5wkedq3
6,"KLUB 20 ⚽🅰️ Di 5 liga top Eropa, cuma ada 2 gelandang yang cetak 20 gol + 20 asis sejauh ini: Kevin de Bruyne dan S… https://t.co/B5i5ULzYXb"
7,Panas 🔥 Drama 5 gol tersaji kala Chicago Fire taklukkan tuan rumah FC Cincinnati 3-2. Tim tamu unggul 3-0 terlebih… https://t.co/uohGg3Nmth
8,Lorient lanjutkan performa manis mereka setelah jeda internasional dengan kembali raih kemenangan! Kali ini Lorient… https://t.co/Ug93xUMt2B
9,Dramatis! Denis Bouanga mencetak gol telat di injury time untuk pastikan kemenangan LAFC 2-1 atas tuan rumah Portla… https://t.co/GGximkPFfn
10,"Tampil inkonsisten dalam beberapa laga terakhir, Inter justru harus hadapi pemimpin klasemen LaLiga tengah pekan in… https://t.co/vD435ZlIM3"
11,Ini duka bersama. Seluruh dunia sepakbola turut berduka akan peristiwa di Stadion Kanjuruhan. Respect! 🌹… https://t.co/MMtIbwJoMh
12,Pasukan Jaime Ramos raih kemenangan pada menit akhir atas Elche di Estadio de Vallecas! Gol Unai Lopez pada menit k… https://t.co/z0n6uG43fF
13,"Udinese menang lagi 💥 Hellas Verona unggul pada menit ke-23 lewat gol Josh Doig. Namun, Bianconeri lah yang akhirny… https://t.co/O8UhAHFKbs"
14,"Apa yang terjadi dengan kedua klub yang biasa dominasi liganya masing-masing ini? 👀

#beINSPORTSID https://t.co/h3JqfwTiaE"
15,"Tampil GANAS di barisan belakang Napoli, Bintang Korea Selatan, Kim Min-Jae resmi terpilih jadi pemain terbaik Seri… https://t.co/zwM6eYArqK"
16,"Penalti Florian Sotoca dimenit ke-82 akhirnya berikan kemenangan dramatis Lens atas Lyon! Dengan hasil ini, Lens ki… https://t.co/WWjZyBgeGv"
17,Pemain-pemain Real Madrid dan Osasuna mengheningkan cipta sesaat sebelum pertandingan di mulai sebagai bentuk ungka… https://t.co/hQOiaPsuM3
18,Respek karier menjadi alasan Ten Hag tidak memainkan Ronaldo pada saat Man United di hancurkan Man City 6-3 semalam… https://t.co/MLgkUCvUmW
19,Lionel Messi bener-bener comeback nih. Sang bintang kembali mencetak gol dan kali ini lewat sebuah tendangan bebas… https://t.co/ju7ymmC7Hz
20,"Drama 8 GOL tersaji kala Real Sociedad tumbangkan Girona 5-3 ⛈️ 2 kali tertinggal, La Real akhirnya keluar sebagai… https://t.co/jvPazmWqlR"
21,"Stefano Pioli puas dengan kemenangan 3-1 AC Milan atas Empoli. Pasalnya, setelah cedera yang terus menimpa, anak as… https://t.co/JJuWFsCCKu"
22,"⚽ Troyes 2-2 Reims
Porozo selamatkan Troyes dari kekalahan 😤

⚽ Auxerre 1-1 Brest
Penalti Niang gagalkan kemenangan… https://t.co/mw0NtpTqTL"
23,"⚽ Ajaccio 1-3 Clermont Foot
2 gol menit akhir menangkan Les Lanciers ⏳

⚽ Toulouse 4-2 Montpellier
Performa apik Le… https://t.co/PUNNBOssIX"
24,"Sengitnya pertarungan di Ligue 1 akhir pekan ini 💥
.
⚽ Lorient 2-1 Lille
10 pemain Les Merlus kalahkan Les Dogues 🔥… https://t.co/2s2UZfSUEb"
25,"⚽ Sassuolo 5-0 Salernitana
I Granata jadi korban keganasan Neroverdi ❌

⚽ Sampdoria 0-3 Monza
Habisi La Samp, Monza… https://t.co/RsqW4JFlrl"
26,"Skor-skor besar dihidangkan Serie A semalam 🥘
.
⚽ Juventus 3-0 Bologna
Menang besar, Si Nyonya Tua bangkit? 👊

⚽ At… https://t.co/7KBFtoLnk0"
27,"⚽ Girona 3-5 Real Sociedad
Comeback gila La Real dalam drama 8 GOL 🔥

⚽ Espanyol 2-2 Valencia
Drama menit akhir, Lo… https://t.co/S76mJzIsKs"
28,"Hasil keseruan LaLiga pada Minggu malam 🌛
.
⚽ Real Madrid 1-1 Osasuna
Rentetan kemenangan Los Blancos terhenti 🛑

⚽… https://t.co/yihTiAddsb"
